Date,Median_Price_Cut
2016-09-30,2.8004781782194
2016-08-31,3.6979969183358996
2016-07-31,2.4411893232232997
2016-06-30,2.8617889109105
2016-05-31,3.0011325028313
2016-04-30,2.9357798165138
2016-02-29,2.8575510787255003
2016-01-31,3.1945907973305
2015-12-31,3.3947768940872995
2015-11-30,3.3532934131735996
2015-10-31,2.5365853658537003
2015-09-30,3.6290322580645
2015-08-31,4.4143910635587
2015-02-28,4.705882352941099
2015-01-31,5.079365079365
2014-12-31,5.128205128205099
2014-11-30,4.762660739799901
2014-10-31,4.0080160320641
2014-09-30,4.2207792207792005
2014-08-31,4.2105263157894
2014-07-31,5.630630630630599
2014-06-30,5.2659294365455
2014-05-31,5.2659294365455
2014-04-30,4.2553191489361
2014-03-31,4.445432318292901
2014-02-28,4.2735042735042
2014-01-31,4.0053404539385005
2013-12-31,4.0053404539385005
2013-11-30,4.4715447154470995
2013-10-31,4.5454545454545
2013-09-30,4.434782608695599
2013-08-31,4.4543429844097
2013-07-31,3.7065637065637005
2013-06-30,4.000800160032
2013-05-31,4.0
2013-04-30,3.7861635220125
2013-03-31,4.0
2013-02-28,4.0
2013-01-31,3.4861200774693
2012-12-31,3.5087719298245
2012-11-30,4.1666666666666
2012-10-31,4.1666666666666
2012-09-30,3.5294117647057996
2012-08-31,4.3478260869565
2012-07-31,4.0791841631673
2012-06-30,3.9408866995072995
2012-05-31,4.5454545454545
2012-04-30,4.1232876712327995
2012-03-31,4.1558441558441
2012-02-29,5.3571428571428
2012-01-31,6.481069042316201
2011-12-31,5.2571428571428
2011-11-30,4.762660739799901
2011-10-31,5.591397849462299
2011-09-30,4.692387904066701
2011-08-31,5.277044854881201
2011-07-31,5.472779369627499
2011-06-30,4.4927536231884
2011-05-31,4.1666666666666
2011-04-30,4.4444444444444
2011-03-31,4.16
2011-02-28,4.6231155778894
2011-01-31,4.6231155778894
2010-12-31,5.0125313283208
2010-11-30,3.8491147036181004
2010-10-31,4.5558086560364
2010-09-30,5.1851851851851
2010-08-31,4.880429477794
2010-07-31,4.5454545454545
2010-06-30,4.2553191489361
2010-05-31,4.7628571428571
2010-04-30,5.660377358490501
2010-03-31,5.320334261838401
2010-02-28,5.6919824361684
